modality	feature	canonical_component	loading
RNA-seq	CLEC3A	CV1	-0.064314
RNA-seq	CPB1	CV1	0.005867
RNA-seq	SCGB2A2	CV1	-0.110429
RNA-seq	SCGB1D2	CV1	0.111949
RNA-seq	TFF1	CV1	-0.13332
RNA-seq	PIP	CV1	0.026478
RNA-seq	GSTM1	CV1	0.012027
RNA-seq	MUCL1	CV1	0.022542
RNA-seq	S100A7	CV1	-0.118102
RNA-seq	ANKRD30A	CV1	-0.021862
RNA-seq	CYP2B7P1	CV1	0.080687
RNA-seq	AGR3	CV1	0.27465
RNA-seq	PRAME	CV1	-0.156012
RNA-seq	MUC6	CV1	0.026448
RNA-seq	CYP4Z1	CV1	0.104696
RNA-seq	HMGCS2	CV1	0.15129
RNA-seq	DHRS2	CV1	-0.119013
RNA-seq	KCNJ3	CV1	0.057002
RNA-seq	TFAP2B	CV1	-0.008354
RNA-seq	SERPINA6	CV1	-0.000802
RNA-seq	TAT	CV1	-0.004721
RNA-seq	UGT2B11	CV1	-0.114307
RNA-seq	C4orf7	CV1	-0.10069
RNA-seq	SLC30A8	CV1	0.050636
RNA-seq	VSTM2A	CV1	0.005138
RNA-seq	COL2A1	CV1	0.067121
RNA-seq	CALML5	CV1	-0.035409
RNA-seq	ADIPOQ	CV1	0.013253
RNA-seq	ADH1B	CV1	0.033298
RNA-seq	KRT14	CV1	-0.058022
RNA-seq	GP2	CV1	-0.003534
RNA-seq	GRIA2	CV1	0.009621
RNA-seq	MYBPC1	CV1	-0.024327
RNA-seq	CEACAM5	CV1	0.043524
RNA-seq	TFF3	CV1	0.337467
RNA-seq	C1orf64	CV1	0.283226
RNA-seq	GABRP	CV1	0.057584
RNA-seq	SOX10	CV1	-0.130563
RNA-seq	KRT5	CV1	0.094765
RNA-seq	MUC5B	CV1	0.058164
RNA-seq	FABP7	CV1	-0.109249
RNA-seq	GSTT1	CV1	-0.003156
RNA-seq	LTF	CV1	-0.021443
RNA-seq	CRABP1	CV1	-0.173224
RNA-seq	KRT6B	CV1	-0.055022
RNA-seq	SYT13	CV1	0.017482
RNA-seq	CGA	CV1	-0.067638
RNA-seq	KLK11	CV1	0.046651
RNA-seq	STAC2	CV1	0.177596
RNA-seq	CEACAM6	CV1	-0.014124
RNA-seq	HOXB13	CV1	0.064402
RNA-seq	SLC5A8	CV1	-0.041375
RNA-seq	C20orf114	CV1	-0.113838
RNA-seq	BMPR1B	CV1	-0.019975
RNA-seq	BPIL1	CV1	0.101929
RNA-seq	PVALB	CV1	0.086111
RNA-seq	CYP4F8	CV1	-0.006303
RNA-seq	NPY1R	CV1	0.021655
RNA-seq	LRP2	CV1	-0.107843
RNA-seq	AGR2	CV1	0.139787
RNA-seq	CST9	CV1	0.162451
RNA-seq	OBP2B	CV1	-0.13148
RNA-seq	KCNC2	CV1	-0.041325
RNA-seq	TCN1	CV1	0.136796
RNA-seq	MUC16	CV1	-0.194701
RNA-seq	ABCC11	CV1	-0.00927
RNA-seq	GFRA1	CV1	0.103737
RNA-seq	OLFM4	CV1	-0.110681
RNA-seq	CYP2A6	CV1	0.067033
RNA-seq	CP	CV1	-0.088372
RNA-seq	CLCA2	CV1	0.083238
RNA-seq	FAM5C	CV1	0.002549
RNA-seq	CRISP3	CV1	0.038368
RNA-seq	KRT81	CV1	-0.197148
RNA-seq	PGR	CV1	0.078967
RNA-seq	KRT6A	CV1	-0.0804
RNA-seq	SLC34A2	CV1	0.06881
RNA-seq	KLK5	CV1	0.126277
RNA-seq	KRT16	CV1	-0.064666
RNA-seq	PROM1	CV1	0.144276
RNA-seq	MUC2	CV1	0.088876
RNA-seq	DSG3	CV1	-0.011325
RNA-seq	LBP	CV1	0.048324
RNA-seq	PTPRT	CV1	0.03016
RNA-seq	MSLN	CV1	-0.032565
RNA-seq	CARTPT	CV1	0.051381
RNA-seq	PIGR	CV1	0.050704
RNA-seq	KRT17	CV1	0.057789
RNA-seq	NLRP2	CV1	-0.05632
RNA-seq	A2ML1	CV1	-0.215043
RNA-seq	CBLN2	CV1	0.013525
RNA-seq	SLITRK6	CV1	-0.070772
RNA-seq	KLK6	CV1	-0.105928
RNA-seq	SERPINA11	CV1	0.14772
RNA-seq	TUSC5	CV1	-0.037502
RNA-seq	CST1	CV1	0.011568
RNA-seq	KIF1A	CV1	-0.003423
RNA-seq	AQP5	CV1	-0.067048
RNA-seq	KLK10	CV1	-0.047345
RNA-seq	ELF5	CV1	0.027722
miRNA	MIMAT0005923	CV1	-0.035302
miRNA	MIMAT0000454	CV1	-0.000252
miRNA	MIMAT0000226	CV1	0.026632
miRNA	MIMAT0000266	CV1	0.00453
miRNA	MIMAT0000262	CV1	-0.072505
miRNA	MIMAT0000728	CV1	0.223954
miRNA	MIMAT0000267	CV1	-0.276613
miRNA	MIMAT0000441	CV1	-0.099626
miRNA	MIMAT0019814	CV1	-0.097013
miRNA	MIMAT0000102	CV1	-0.139831
miRNA	MIMAT0000281	CV1	-0.153741
miRNA	MIMAT0000264	CV1	-0.009148
miRNA	MIMAT0000758	CV1	-0.385657
miRNA	MIMAT0000451	CV1	0.046434
miRNA	MIMAT0026480	CV1	0.164681
