sample_id	RNA_CV1	RNA_CV2	RNA_CV3	RNA_CV4	RNA_CV5	miRNA_CV1	miRNA_CV2	miRNA_CV3	miRNA_CV4	miRNA_CV5
TCGA-3C-AAAU-01	1.177198	-2.261345	0.030345	-0.139537	0.942757	0.870074	-2.015579	0.169995	-0.085003	1.142584
TCGA-3C-AALI-01	-0.164172	-1.184162	-1.135526	-0.637747	0.750987	-0.669331	-1.315743	-2.104738	0.221395	0.756048
TCGA-3C-AALJ-01	1.537302	-0.573000	1.048478	-2.288871	1.613820	-0.663571	-0.917405	0.739642	-1.158161	1.568488
TCGA-3C-AALK-01	0.672896	1.149847	-0.908455	0.664941	-0.156884	0.543072	0.260763	-0.707853	0.524791	-0.039681
TCGA-4H-AAAK-01	0.885699	0.674502	0.061946	-0.159860	-0.706713	-0.138217	-0.376003	-0.734631	-0.335433	-0.669263
TCGA-5L-AAT0-01	1.298224	0.707459	0.319852	0.048276	-0.815861	1.187603	0.447865	1.088300	0.148064	-0.140552
TCGA-5T-A9QA-01	0.403118	-2.808289	0.819457	0.673436	0.417512	0.389818	-1.444005	0.235163	0.016830	-0.054351
TCGA-A1-A0SB-01	-3.286717	0.948187	1.487820	0.786336	-0.617351	-3.068353	1.793393	0.809899	1.590061	-0.617530
TCGA-A1-A0SF-01	1.429029	1.169245	-0.085299	-0.958711	-0.602936	1.941999	0.512515	-0.512734	-0.501705	-0.132113
TCGA-A1-A0SG-01	0.521136	0.655360	0.128204	-0.208851	-0.676125	-0.525622	0.432383	0.568751	0.229243	-0.539801
TCGA-A1-A0SI-01	0.378857	-0.384587	-1.400347	1.086303	-0.054024	0.064434	0.017238	-1.450480	0.202137	0.766059
TCGA-A1-A0SN-01	0.769179	-0.841267	-0.528508	0.850523	0.062439	0.489587	-0.170134	-0.890015	0.175234	0.611108
TCGA-A1-A0SQ-01	2.633959	-0.706248	0.600929	1.822678	0.595280	2.305336	-2.181605	0.477300	1.618566	0.925791
TCGA-A2-A0CK-01	1.327048	0.997186	0.700041	0.146711	0.154176	0.718911	0.458479	0.874670	-0.049629	-0.064431
TCGA-A2-A0CO-01	1.224975	1.817579	0.689876	1.123690	0.192458	1.613781	1.702545	-0.036373	0.362677	0.045745
TCGA-A2-A0CR-01	1.206714	1.366896	0.225074	-0.163255	-0.154390	1.500615	2.272331	-0.034993	0.956970	-0.290000
TCGA-A2-A0EP-01	0.618155	1.739528	-0.782418	1.144511	1.150847	0.205164	1.604269	-0.880598	0.162054	1.146580
