sample_id	Factor1	Factor2	Factor3	Factor4	Factor5
TCGA-3C-AAAU-01	1.368342	1.204382	-2.210328	-0.271778	-0.821739
TCGA-3C-AALI-01	0.363089	0.720380	0.152137	-0.891405	-1.458768
TCGA-3C-AALJ-01	1.523661	1.742363	-0.041929	0.195417	-0.040147
TCGA-3C-AALK-01	0.234531	-0.937577	1.532329	-0.291198	-0.151645
TCGA-4H-AAAK-01	-0.083898	-1.061543	0.165097	0.684260	0.464918
TCGA-5L-AAT0-01	0.010836	-1.134634	-0.095001	0.488426	-0.228293
TCGA-5T-A9QA-01	1.667873	1.472448	0.798488	0.423756	2.466383
TCGA-A1-A0SB-01	-1.873937	0.135094	-0.921652	0.387985	0.124055
TCGA-A1-A0SF-01	0.193552	-1.205660	0.298707	0.289195	-0.978117
TCGA-A1-A0SG-01	0.455779	-0.618452	-0.553540	0.263003	-1.019551
TCGA-A1-A0SI-01	-0.045337	-0.338857	0.098190	-1.838932	-1.024961
TCGA-A1-A0SN-01	0.561920	0.038141	1.263414	0.065220	0.319455
TCGA-A1-A0SQ-01	0.777873	-0.283493	-0.783014	0.472940	-1.424157
TCGA-A2-A0CK-01	0.126061	-0.756252	-0.074770	1.124487	0.569736
TCGA-A2-A0CO-01	0.191116	-1.437239	1.046399	0.218168	-0.779725
TCGA-A2-A0CR-01	-0.311291	-1.639905	0.875818	0.104081	0.578542
TCGA-A2-A0EP-01	-0.170361	-0.576791	-1.187804	-1.667815	1.716884
TCGA-A2-A1FV-01	1.132456	0.235790	1.449262	1.322061	-1.471837
TCGA-A2-A1FW-01	0.955912	0.677492	0.657754	1.831558	-0.737013
TCGA-A2-A1FX-01	0.958561	0.821162	0.363074	1.863250	-0.788294
TCGA-A2-A1FZ-01	0.210927	-0.620192	0.029413	0.322297	0.672165
TCGA-A2-A1G0-01	-0.095738	-1.045432	-1.581294	0.798453	-0.583300
TCGA-A2-A1G1-01	-1.720418	1.380091	1.028367	0.696531	-0.551235
TCGA-A2-A1G4-01	1.060245	0.273820	0.108303	0.359522	1.895493
TCGA-A2-A1G6-01	-1.024213	-1.774580	-1.064376	0.446404	0.928102
TCGA-A2-A259-01	-0.169316	-1.243618	-0.834185	0.913661	0.665782
TCGA-A2-A25A-01	-0.131581	-1.428796	1.006974	0.306957	-0.458201
TCGA-A2-A25B-01	1.592133	1.650972	-0.436368	0.037521	-1.313820
TCGA-A2-A25C-01	0.376167	-0.243715	-0.531784	-0.207513	0.044524
TCGA-A2-A25D-01	0.226658	0.003173	0.633047	0.899739	0.904160
TCGA-A2-A25E-01	0.766964	0.174938	-0.575028	1.050529	-1.404498
TCGA-A2-A25F-01	-1.222148	1.635363	-1.060072	-0.138490	1.671699
TCGA-A2-A3KC-01	0.227713	-0.883373	1.069059	0.695891	0.885701
TCGA-A2-A3KD-01	-0.095800	-1.443214	-1.273324	-0.040856	0.639001
TCGA-A2-A3XS-01	-2.018122	1.129993	0.703909	0.163032	-0.243091
TCGA-A2-A3XT-01	-1.602724	1.329649	-0.483852	-0.068083	-0.353440
TCGA-A2-A3XU-01	-2.055026	0.930592	-0.254295	0.445340	0.054766
TCGA-A2-A3XV-01	0.458049	1.257833	1.692289	-3.490360	0.657518
TCGA-A2-A3XW-01	-0.906268	-0.799952	0.196426	0.788097	0.152921
TCGA-A2-A3XX-01	-2.036534	0.761488	-0.234980	0.232107	0.157805
TCGA-A2-A3XY-01	-1.816612	0.565650	0.557402	0.424945	0.158979
TCGA-A2-A3XZ-01	-0.642181	-0.504793	0.086123	-0.735187	0.533683
TCGA-A2-A3Y0-01	-2.199293	0.868956	0.431504	-0.459761	-1.040773
TCGA-A2-A4RW-01	0.305569	-0.190453	0.803143	0.683927	1.233972
TCGA-A2-A4RX-01	-2.061945	-0.442301	0.032202	0.717913	0.205592
TCGA-A2-A4RY-01	-0.512701	-1.582023	0.681772	-0.043533	0.323637
TCGA-A2-A4S0-01	0.879903	-0.016337	-3.252063	0.538052	1.246534
TCGA-A2-A4S1-01	-0.173254	3.072899	-0.801649	-0.903133	-0.697639
TCGA-A2-A4S2-01	0.268142	-0.918210	0.420928	0.448241	0.498640
TCGA-A2-A4S3-01	0.082955	0.432123	-1.215334	-0.536448	-0.845643
TCGA-A7-A13D-01	-2.117336	1.340900	0.400027	0.989044	-0.617112
TCGA-A7-A13E-01	-1.896968	1.560575	1.404894	1.344750	0.076870
TCGA-A7-A13F-01	1.016322	0.228968	1.151413	0.719565	-0.727338
TCGA-A7-A13G-01	0.289134	-0.751623	-1.348874	0.400412	1.391548
TCGA-A7-A13H-01	-0.152413	-1.386138	0.267730	0.513774	0.056137
TCGA-A7-A26E-01	0.466861	-0.621357	0.760970	0.180952	0.870282
TCGA-A7-A26F-01	-1.342138	0.568279	2.273721	-1.126989	-0.856526
TCGA-A7-A26G-01	-1.525614	0.219349	-1.101839	-0.326984	0.299197
TCGA-A7-A26H-01	0.731451	-0.348098	0.680547	0.082243	-0.645644
TCGA-A7-A26I-01	-1.967678	1.072145	-0.737423	0.605747	-0.578866
TCGA-A7-A26J-01	0.709093	-0.291109	0.592672	0.844008	-1.659417
TCGA-A7-A2KD-01	0.266478	-0.513292	-0.615811	-0.423185	-1.091042
TCGA-A7-A3IY-01	-0.815128	-1.363632	-1.319877	0.741229	0.265349
TCGA-A7-A3IZ-01	1.928637	0.391077	-0.080041	0.483435	0.891432
TCGA-A7-A3J0-01	0.050577	-0.875978	-2.715077	0.595863	-0.285081
TCGA-A7-A3J1-01	0.154269	-0.985924	-0.275996	-0.924937	0.161819
TCGA-A7-A3RF-01	1.426864	0.852230	-2.481742	-0.161920	-0.718947
TCGA-A7-A425-01	-0.126782	-1.418911	0.454998	-0.553109	-0.938329
TCGA-A7-A426-01	0.138143	-1.605988	0.807960	0.531400	-1.016694
TCGA-A7-A4SA-01	-0.208300	-0.449651	-1.104283	0.253133	-0.631728
TCGA-A7-A4SB-01	0.469915	-0.562986	-0.327344	0.931592	-1.672410
TCGA-A7-A4SC-01	0.129762	-1.032323	1.109707	-0.842436	0.601243
TCGA-A7-A4SD-01	-2.052706	0.865324	-0.213818	0.412127	-2.063369
TCGA-A7-A4SE-01	-2.094003	0.172941	0.190560	1.069482	-1.043707
TCGA-A7-A4SF-01	1.204649	1.277712	0.755057	-0.016635	-1.665174
TCGA-A7-A56D-01	0.693727	0.294821	0.625022	-0.302079	0.125741
TCGA-A7-A5ZV-01	-1.607299	1.676150	2.437928	1.381022	0.186154
TCGA-A7-A5ZW-01	-0.328650	-1.201848	0.052723	0.394008	1.055657
TCGA-A7-A5ZX-01	-0.146464	-1.606531	0.696281	0.522955	0.493915
TCGA-A7-A6VV-01	-2.077779	0.537673	0.317870	0.545941	-0.111597
TCGA-A7-A6VW-01	-1.889484	0.291012	1.396156	0.040483	0.021926
TCGA-A7-A6VX-01	0.787311	0.400515	0.114218	0.099146	-0.154105
TCGA-A7-A6VY-01	-1.933914	0.723019	1.409618	0.647204	-0.021543
TCGA-AC-A23C-01	0.407719	-0.325545	0.863318	-0.692296	-0.620303
TCGA-AC-A23E-01	0.504063	-0.705334	0.165820	0.053835	-0.655023
TCGA-AC-A23G-01	-0.404357	-1.053308	0.846725	0.957585	0.150724
TCGA-AC-A23H-01	0.855657	1.292707	1.381696	-2.273334	-0.664409
TCGA-AC-A2B8-01	0.632120	-0.591442	0.225136	-0.371427	-0.698469
TCGA-AC-A2BK-01	-1.014533	2.250214	-1.357618	-0.229776	0.128743
TCGA-AC-A2BM-01	1.114518	0.895464	-0.502663	1.292930	-0.332039
TCGA-AC-A2FB-01	-0.317276	-1.246681	-0.164516	0.010340	0.788151
TCGA-AC-A2FE-01	0.363028	-0.555566	0.995151	-0.235562	1.793060
TCGA-AC-A2FF-01	-0.580339	-1.294562	-0.441656	-0.152052	0.898324
TCGA-AC-A2FG-01	-0.422955	-1.938029	0.079307	-0.326213	-1.509322
TCGA-AC-A2FK-01	-1.231459	-1.943854	-0.653263	-0.494308	0.681366
TCGA-AC-A2FM-01	1.045096	0.048175	1.574856	1.672722	1.924562
TCGA-AC-A2FO-01	0.375434	-0.710004	0.566661	0.746291	-0.414053
TCGA-AC-A2QH-01	-0.213021	3.285287	-1.335284	0.279736	0.402845
TCGA-AC-A2QI-01	0.222613	-0.551880	-0.054760	-0.210662	-1.438484
TCGA-AC-A2QJ-01	-1.874494	0.685703	0.271959	0.394279	-1.029241
TCGA-AC-A3BB-01	0.318314	-1.044749	0.309449	-0.466986	0.864114
TCGA-AC-A3EH-01	0.636840	-0.066079	1.535432	-0.059624	0.446126
TCGA-AC-A3HN-01	-0.330360	-1.437594	-0.709590	-0.250339	0.774503
TCGA-AC-A3OD-01	0.092014	-1.243841	0.954004	0.104624	1.380166
TCGA-AC-A3QP-01	-0.312232	-1.454072	-0.098505	0.002545	0.389802
TCGA-AC-A3QQ-01	0.739215	-0.782901	1.092193	0.176022	-1.467655
TCGA-AC-A3TM-01	0.121859	-1.360799	1.069869	0.284996	0.267040
TCGA-AC-A3TN-01	1.061443	-0.822634	1.082662	0.088471	0.333560
TCGA-AC-A3W5-01	0.227354	0.360502	0.855932	-3.113641	-0.557121
TCGA-AC-A3W6-01	0.770986	0.137477	-0.676218	-1.272902	1.922562
TCGA-AC-A3W7-01	-0.090718	-1.749490	1.043751	-0.576145	1.077664
TCGA-AC-A3YI-01	-0.586388	-1.301785	0.699211	0.584596	0.822750
TCGA-AC-A3YJ-01	1.145252	-0.149798	-1.515552	-0.548468	-0.141543
TCGA-AC-A4ZE-01	1.228534	0.248728	1.092804	-0.162835	0.316324
TCGA-AC-A5EH-01	-0.053283	0.696014	0.900933	-2.201370	-2.016371
TCGA-AC-A5XS-01	0.399345	-0.432297	0.525681	-0.481416	-0.853518
TCGA-AC-A5XU-01	1.092034	0.669399	1.225608	1.514018	-0.244414
TCGA-AC-A62V-01	1.676481	2.080516	0.674333	0.676277	-0.790839
TCGA-AC-A62X-01	-1.818955	0.870832	0.933210	-0.072701	0.735396
TCGA-AC-A62Y-01	0.838161	-0.011486	-2.473823	-1.284507	1.488334
TCGA-AC-A6IV-01	0.171975	-0.233396	-0.057514	1.042152	0.003866
TCGA-AC-A6IW-01	-1.748718	0.699880	-0.101363	0.354531	0.281920
TCGA-AC-A6IX-01	0.436078	-0.094497	1.109319	0.293189	1.621322
TCGA-AC-A6NO-01	0.009318	-0.865614	-0.402699	-0.254008	-1.164240
TCGA-AC-A7VB-01	1.501500	1.723487	1.638590	0.882681	-0.568240
TCGA-AC-A7VC-01	-0.716330	1.731763	-1.375458	0.554802	-0.055690
TCGA-AC-A8OP-01	0.598551	0.050610	1.199194	0.695063	-1.699905
TCGA-AC-A8OQ-01	-1.916017	0.511111	-0.321969	0.757948	-0.746901
TCGA-AC-A8OR-01	-0.179425	-0.189891	-1.902316	0.871050	0.737441
TCGA-AC-A8OS-01	0.244589	-1.365026	0.904562	-0.807958	-0.428033
TCGA-AO-A12B-01	1.344675	0.744627	-2.775600	-0.592222	-0.133587
TCGA-AO-A1KO-01	-1.267574	-1.309312	-1.101746	-0.277137	0.656957
TCGA-AO-A1KP-01	1.218116	0.375870	0.784917	0.781589	0.145809
TCGA-AO-A1KQ-01	1.225880	1.095340	-1.657130	-0.352754	-1.037596
TCGA-AO-A1KR-01	-1.428400	0.600272	0.988200	-0.385785	-0.135966
TCGA-AO-A1KS-01	0.624662	-0.131838	0.463943	-0.046022	0.654625
TCGA-AO-A1KT-01	0.644044	0.197859	0.091993	0.721724	-1.224254
