	Factor1	Factor2	Factor3	Factor4	Factor5
MIMAT0005923	-0.03474141027616469	0.28838972763671666	-0.0005698088559461858	-0.07852259745716353	-0.1773277084190354
MIMAT0000454	0.08819676013193348	-0.32131470961995023	0.09436590721021562	-0.34072696652995565	-0.013480633066450224
MIMAT0000226	0.003293903103821573	-0.010673724001923669	0.3112140850193538	-0.11973382400235397	0.06650760429461137
MIMAT0000266	-0.20394000113159086	-0.3238274601489049	0.07626243015072585	-0.07448791305848229	-0.017882712069525384
MIMAT0000262	-0.2337954163370677	0.06573689684896086	0.08188709506900381	-0.33956087782970423	-0.153895460663363
MIMAT0000728	0.49793586354400743	-0.14371562707643779	-0.08554255979543801	-0.10025134348801483	-0.10679347978624772
MIMAT0000267	-0.11146659768971662	0.5311925082490694	-0.07623390836697023	-0.09460651948412996	-0.13610557870626253
MIMAT0000441	-0.3375605609991258	0.36818783208675354	0.0037913277547298044	0.03698253354829812	-0.009708668356282984
MIMAT0019814	-0.26663423728456215	0.06975684701220577	0.10060262564613606	-0.10661422209612362	0.0019114920867746128
MIMAT0000102	-0.29440996044393225	0.2789135935131665	0.009223577828671278	-0.08915431802165558	-0.19818764040528036
MIMAT0000281	-0.48845774095317335	0.28558176494888765	0.07936825469339938	-0.2626246832699237	-0.04438176182466134
MIMAT0000264	-0.2400368955442729	0.011211296642792148	0.33005436674636446	-0.054012422691170923	0.0025877333111529633
MIMAT0000758	-0.6169175286827716	0.23990719955059436	0.006020929193157532	0.11600879191336927	0.010186773322482178
MIMAT0000451	-0.28845759998479964	-0.11939352192842258	-0.024653614440747772	-0.07916986733419554	0.11857817224502519
MIMAT0026480	0.1945088349828831	0.05654097528909133	-0.299848040886732	-0.019176429018329957	0.01004440495686046
MIMAT0000450	0.3651761036229486	0.14454016102105796	-0.009661878751957932	0.17696093228842533	-0.08405059173813614
MIMAT0017985	0.08743256788480588	0.18428240843431795	-0.1934889862300062	-0.021845889621368547	-0.03021595013150838
MIMAT0003242	-0.6174452843553878	0.35137572345029483	-0.057567134035245555	0.09184669968437478	0.0007221425512628678
MIMAT0001635	-0.5541956234290167	0.13704011321853116	0.16353738183021738	-0.2409303059063453	0.0016955981173688735
MIMAT0004784	-0.3484646881244059	0.4064135968439871	-0.1789669023154234	-0.051210417091296374	-0.012016540541188118
MIMAT0003882	-0.27171459733265074	0.2367923152672169	0.031478317846640264	-0.09337132103778653	-0.2113594614420949
MIMAT0022721	-0.1294414231525284	-0.25982408005795493	0.013685467921805352	-0.012133271313947354	0.11428717222654573
MIMAT0001541	0.18224869653363981	-0.06695675174979578	0.03628670196100195	-0.10168671363382362	-0.00664499351350903
MIMAT0004929	0.5990518218750291	-0.20471294822506766	-0.07654440932561378	0.09246394084932208	-0.0013102432727439533
MIMAT0000434	-0.2586580920661654	0.22753759456753295	-0.1575359479545484	-0.1587697534878009	0.03818944632757317
MIMAT0001413	0.016176732425195548	0.06260440665736212	0.04031729448334454	-0.2532853856331739	-0.008425392745504074
MIMAT0006790	-0.08115050121390686	0.0004240094141403458	-0.09702512674108954	-0.036044991185252916	-0.03692692405536003
MIMAT0004809	0.02973037877801626	0.2097288622980489	-0.23691341697829105	-0.0948552311551463	-0.026470593895186908
MIMAT0022472	-0.1201591894675854	-0.2631806216898553	0.16110519698992978	0.038514050405001755	0.09154156995868097
MIMAT0025477	-0.32478903186251823	-0.13627190735256686	-0.009946617995481933	0.10136822396401095	-0.01712981812975238
