	Factor1	Factor2	Factor3	Factor4	Factor5
CLEC3A	0.2434927465029878	-0.19447922633039938	-0.07322708673223705	-0.15437797608299222	-0.04876897732294435
CPB1	0.4087386339681326	-0.16864863412156716	-0.2174521994218133	0.290901614033516	-0.014306157369029186
SCGB2A2	0.25460022421914436	-0.5545347449785739	0.0075222531637512075	-0.14025019976339984	-0.005420374664921124
SCGB1D2	0.2565662612389332	-0.5218067506029488	-0.00239320006722996	-0.08477455601904554	-0.001121669465913435
TFF1	0.6034707755344489	-0.5335499607813203	-0.03655895318166631	0.01832271459780007	0.04119434166869409
PIP	0.307562078027219	-0.5012542828797235	-0.08164296961559674	-0.4102114133745789	-0.042109135092760444
GSTM1	0.05726419420341991	-0.05867186128889528	-0.011960506767021326	0.0026780898332768926	-0.0028470976879853773
MUCL1	-0.04304621097039736	-0.43881659205725476	0.2202232132235682	-0.45809325379560345	-0.04472962397453389
S100A7	-0.32530900142474223	0.02716732480378659	0.21872408292374232	-0.3692731362687641	0.0027439416253149597
ANKRD30A	0.462484334927917	-0.5276477050395008	-0.06401177186945213	-0.08820620023455245	0.11335312745494211
CYP2B7P1	0.5883744174754291	-0.3146979847127373	-0.13725741522762575	0.014300181105032797	-0.027776593656895162
AGR3	0.708804085132196	-0.45854905607532476	-0.05202555769582972	0.17578506132256005	0.024415170057168603
PRAME	-0.4049682971479534	0.32641247104993215	0.0013800729720063918	0.03811120393037641	-0.03762134185594732
MUC6	0.04430363805871409	-0.37579509948049433	-0.048104852552919956	-0.15679868039507616	0.0013317722207782895
CYP4Z1	0.23611301871390494	-0.48451013526796594	0.08156139531380494	-0.3798097836910824	0.00489511639072781
HMGCS2	0.25983867353322543	-0.565216861476068	0.10346008910425951	-0.3405567215915648	-0.06717998658509662
DHRS2	0.37438125802292554	-0.17745393756805763	0.19525977686256374	-0.00010195392063777148	-0.07500906874276497
KCNJ3	0.5021216620817651	-0.06517843715812749	-0.20020106287142736	0.17100363454213793	-0.08034683849978963
TFAP2B	0.046524377801489054	-0.54555755007786	0.15563844608750252	-0.35195898266493725	0.08400581071942843
SERPINA6	0.34386017872594654	-0.1962839363829091	-0.31632904051596855	0.09925054776916474	-0.12077301876287394
TAT	0.08771652316352031	-0.48297592767826364	-0.07475868982614033	-0.0803422470847993	0.04374721340191351
UGT2B11	0.13575147615436725	-0.36586975625323076	0.017460958782751036	-0.3871149138775533	-0.08445479231325664
C4orf7	-0.5954606194757193	-0.15409260043683554	0.0579708894790439	0.04267420087435646	0.0778109854615927
SLC30A8	0.33991183827128324	-0.13685176680682995	-0.03974595523864625	0.012968357756793194	-0.07512414875182576
VSTM2A	0.31622308579100467	-0.031241025978814892	0.09953588861278204	0.1095183800366706	0.010084948072867207
COL2A1	-0.026654079200095937	0.13180219220491415	-0.09110580379462377	0.4185497351550555	-0.07402276434389998
CALML5	-0.3800669014998525	-0.08051211293406538	0.26873948383316626	-0.331227574706992	-0.09343130383006325
ADIPOQ	0.01536663484782473	-0.3884655189819788	0.02992700211946693	-0.016355080608963787	0.06956448863401578
ADH1B	-0.001500801322415244	-0.4660371315452016	0.03035369044947462	-0.020965214265932865	0.07178033689393844
KRT14	-0.5559204347809151	-0.5723583572147325	0.29494356377493103	0.3328179542483302	-0.14217235597047842
GP2	0.5112906853019392	-0.4579541348478355	-0.06815760955084652	-0.034038651628810125	-0.03437388377586514
GRIA2	0.26864514988289867	-0.1484387845453119	-0.3224519061318236	0.15183933783821904	-0.06627690885768543
MYBPC1	-0.23909110887447488	-0.3549339382651485	0.05737044824947604	-0.14923132046119209	0.03497113761419363
CEACAM5	0.44417551222480256	-0.16526475479678898	-0.07914718720942947	-0.15005089532819163	-0.09351515072259516
TFF3	0.6814714484795074	-0.46480862507344506	-0.014113295867780496	-0.019101321418352833	0.038245511543138135
C1orf64	0.574224907140904	-0.5419457405581815	0.05178890908819437	0.05373681898134703	-0.014788627358631212
GABRP	-0.7682595393256282	-0.2501240521876807	0.11755930578719213	0.2500365513099688	-0.05545311567428003
SOX10	-0.6555884260883924	-0.3775124858179127	0.11657900222269722	0.291142424029836	-0.018413823069616683
KRT5	-0.6670276181858911	-0.46388766459074526	0.2793475530715819	0.2734303137048037	-0.1258735945850017
MUC5B	-0.2979204659333076	-0.10352875471266668	0.08766824328236857	-0.17060187470846225	-0.027988203513669117
FABP7	-0.6594000077918222	-0.032436727828354724	0.15255341589787177	-0.13926315789174415	-0.039730030587754414
GSTT1	0.014800073239625199	-0.10283759886905917	-0.0256975750992549	0.040685846733382845	-0.01115121706752117
LTF	-0.26114200708556007	-0.45718803840968353	-0.007192910885323427	-0.45730247000285906	-0.027798689609209743
CRABP1	-0.5150810418324847	0.003259098297225555	-0.01201003762691311	-0.008620604094060975	0.09035652841382054
KRT6B	-0.7383720664806455	-0.29396607515392004	0.2738341276641922	0.2668723525537659	-0.1637596856756615
SYT13	0.265565232210385	0.02456473753129103	-0.2612324842838015	0.1707562839119216	0.01587898750584984
CGA	0.3894005789992572	0.15729134679565954	-0.07470394572898238	0.2933254274907939	0.01489295344867296
KLK11	-0.3009882726234021	-0.37749545472148327	0.08625989918006947	-0.0409190439890824	-0.03653818588005791
STAC2	-0.6117218318199502	-0.41114080861609104	0.21107239637048306	-0.050177109222809026	-0.027880633358079446
CEACAM6	0.2861806373141719	-0.20881008828972653	-0.05418494347188627	-0.18925189020606262	-0.06514834114047448
HOXB13	-0.12550973213495925	0.20336657097935312	0.2241689385601026	-0.09180707467951213	0.09597778521056302
SLC5A8	-0.0009051702888354828	-0.07406566357270086	-0.13444425999797077	-0.1401333594191705	0.040802557127088794
C20orf114	0.4402383979700363	-0.3691740599662243	0.011351579074619226	0.07734611573439702	-0.024577925026600656
BMPR1B	0.4057838588654106	-0.1786224218241537	-0.27360174385530994	0.14567836568489917	-0.06489714972978251
BPIL1	0.3752970467386433	-0.3444824170898977	-0.07312676899860275	-0.21172547487061993	-0.0185879289935792
PVALB	0.3840073747373982	-0.08266373857348962	0.12873900573298722	0.21556052683140559	0.030114244639736373
