sample_id	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10
TCGA-3C-AAAU-01	1.432561	1.158270	-0.650629	-0.193306	0.923209	0.173490	-0.690959	3.530688	-1.758728	-0.584748
TCGA-3C-AALI-01	-0.101325	1.531686	2.292641	-1.248240	-0.884799	-2.034865	1.594035	1.101481	-0.520836	-0.007339
TCGA-3C-AALJ-01	-0.082530	0.809156	0.635692	0.223351	0.007624	-2.794591	-0.452035	0.652702	-0.908319	-0.456707
TCGA-3C-AALK-01	0.601844	-0.770315	0.436462	0.786323	-1.111740	-0.890361	0.584278	-0.780609	-0.182289	-1.162954
TCGA-4H-AAAK-01	1.055884	-0.758256	-0.746074	0.442689	-0.489966	0.592612	-0.837243	-1.178640	-0.121491	0.506991
TCGA-5L-AAT0-01	1.498469	-1.157233	-0.175712	1.242355	-0.777777	0.710235	-0.525189	-0.830358	-0.451902	0.601899
TCGA-5T-A9QA-01	-0.121629	1.025717	-1.759015	0.894079	0.904687	-3.043925	-0.029903	-1.687427	0.054994	-1.090584
TCGA-A1-A0SB-01	0.450741	0.461048	-0.492193	-2.005115	0.833424	3.922150	-2.293061	-1.187428	1.590398	1.723715
TCGA-A1-A0SF-01	0.085663	-1.379947	0.726867	0.625399	-1.044848	-0.180079	0.598996	0.533295	-0.010266	-0.401632
TCGA-A1-A0SG-01	0.922334	-1.251784	1.193457	-1.128741	0.323594	1.007043	1.120537	1.630168	-1.485861	0.178851
TCGA-A1-A0SI-01	-1.270141	0.416955	0.351457	-0.280726	-1.477849	1.738204	1.368210	-0.378605	0.422250	0.307481
TCGA-A1-A0SN-01	-0.385677	-0.007710	0.463392	0.197219	-0.370862	-1.473508	1.475926	-1.076603	0.201303	-1.218949
TCGA-A1-A0SQ-01	2.022607	1.041452	-1.193812	1.092830	-0.881372	-0.207632	0.078558	2.010812	-2.020416	-1.685367
TCGA-A2-A0CK-01	0.643495	-2.271443	-0.539288	1.617813	-0.356878	-0.092654	-1.766551	-0.010562	-0.730249	-1.607677
TCGA-A2-A0CO-01	-0.586817	-1.511502	1.306197	1.580682	-2.071015	-0.009871	-0.437005	-0.199976	-0.116240	-1.116910
TCGA-A2-A0CR-01	0.558756	-1.078466	1.552615	1.303686	-0.968491	-0.537196	-1.052645	-1.377572	1.263050	0.089222
TCGA-A2-A0EP-01	-0.941049	-1.310794	1.512547	-0.380983	-0.217735	0.434506	-1.963428	0.280246	1.942190	-0.505418
TCGA-A2-A1FV-01	-0.388469	-1.770336	0.122783	0.651915	-0.824032	-2.491883	0.332933	0.657213	-3.085764	-2.778437
TCGA-A2-A1FW-01	-0.344016	0.557945	0.808889	-1.306280	-0.088690	-2.128983	0.877196	1.452659	-0.930724	-2.680252
TCGA-A2-A1FX-01	0.184597	-0.292215	-0.587863	0.664752	0.079970	-1.491973	-0.497932	0.985471	-2.092565	-0.730166
TCGA-A2-A1FZ-01	-0.744939	-1.062123	-0.528266	1.195004	-0.808377	0.651928	-0.795181	0.615262	0.617815	-1.899228
TCGA-A2-A1G0-01	0.919561	-1.901419	0.905820	-0.633197	-0.008803	1.939226	-1.012940	1.250760	-1.811899	-0.123127
TCGA-A2-A1G1-01	-1.041671	1.424724	0.843073	-2.386097	1.608160	-0.619772	-0.172749	-0.396535	0.622313	0.588589
TCGA-A2-A1G4-01	-0.278170	-1.121274	-0.987943	-0.017200	2.007344	-0.848686	-0.603095	-0.388478	-0.122720	-3.707763
TCGA-A2-A1G6-01	0.959962	-0.012241	0.516999	0.056167	-1.276095	2.917927	-2.623531	-0.398673	0.952819	0.558439
