sample_id	PC1	PC2
TCGA-3C-AAAU-01	-0.091469	-0.187500
TCGA-3C-AALI-01	-0.061975	-0.137007
TCGA-3C-AALJ-01	-0.177416	-0.140448
TCGA-3C-AALK-01	-0.185416	0.096914
TCGA-4H-AAAK-01	-0.101439	0.191130
TCGA-5L-AAT0-01	-0.119832	0.226129
TCGA-5T-A9QA-01	-0.196180	-0.239861
TCGA-A1-A0SB-01	0.360140	0.013221
TCGA-A1-A0SF-01	-0.130354	0.123508
TCGA-A1-A0SG-01	-0.057103	-0.060848
TCGA-A1-A0SI-01	-0.031193	0.062690
TCGA-A1-A0SN-01	-0.182707	-0.074806
TCGA-A1-A0SQ-01	-0.187834	-0.123919
TCGA-A2-A0CK-01	-0.118211	0.137011
TCGA-A2-A0CO-01	-0.127461	0.205847
TCGA-A2-A0CR-01	-0.015005	0.279184
TCGA-A2-A0EP-01	0.174239	0.239858
TCGA-A2-A1FV-01	-0.240376	-0.149160
TCGA-A2-A1FW-01	-0.186418	-0.227571
TCGA-A2-A1FX-01	-0.209491	-0.069284
TCGA-A2-A1FZ-01	-0.029356	0.046361
TCGA-A2-A1G0-01	-0.053379	0.163072
TCGA-A2-A1G1-01	0.334891	-0.166165
TCGA-A2-A1G4-01	-0.108911	-0.216167
TCGA-A2-A1G6-01	0.163777	0.318297
TCGA-A2-A259-01	0.006927	0.217154
TCGA-A2-A25A-01	-0.128580	0.264353
TCGA-A2-A25B-01	-0.133850	-0.323622
TCGA-A2-A25C-01	-0.008459	-0.069637
TCGA-A2-A25D-01	-0.071524	0.036228
TCGA-A2-A25E-01	-0.071307	-0.207165
TCGA-A2-A25F-01	0.361060	0.028152
TCGA-A2-A3KC-01	-0.149024	0.190563
TCGA-A2-A3KD-01	-0.029948	0.235272
TCGA-A2-A3XS-01	0.389310	-0.093685
TCGA-A2-A3XT-01	0.385170	-0.066589
TCGA-A2-A3XU-01	0.371335	-0.126341
TCGA-A2-A3XV-01	-0.022827	-0.161025
TCGA-A2-A3XW-01	0.125250	0.221473
TCGA-A2-A3XX-01	0.422061	-0.045685
TCGA-A2-A3XY-01	0.377848	0.079430
TCGA-A2-A3XZ-01	0.125389	0.140310
TCGA-A2-A3Y0-01	0.436241	-0.125855
TCGA-A2-A4RW-01	-0.159340	0.136611
TCGA-A2-A4RX-01	0.338869	0.142641
TCGA-A2-A4RY-01	0.001388	0.355828
TCGA-A2-A4S0-01	-0.041870	-0.031258
TCGA-A2-A4S1-01	0.174621	-0.104130
TCGA-A2-A4S2-01	-0.140129	0.089623
TCGA-A2-A4S3-01	0.057090	-0.006369
TCGA-A7-A13D-01	0.367023	-0.177953
TCGA-A7-A13E-01	0.303896	-0.220490
TCGA-A7-A13F-01	-0.193491	-0.185316
TCGA-A7-A13G-01	-0.067432	-0.003850
TCGA-A7-A13H-01	-0.067274	0.271295
TCGA-A7-A26E-01	-0.216279	0.070382
TCGA-A7-A26F-01	0.197643	-0.165541
TCGA-A7-A26G-01	0.323969	0.079051
TCGA-A7-A26H-01	-0.230884	0.060101
TCGA-A7-A26I-01	0.376321	-0.142194
TCGA-A7-A26J-01	-0.210998	-0.095562
