sample_id	GAT_embedding_1	GAT_embedding_2	GAT_embedding_3	GAT_embedding_4	GAT_embedding_5	GAT_embedding_6	GAT_embedding_7	GAT_embedding_8	GAT_embedding_9	GAT_embedding_10	GAT_embedding_11	GAT_embedding_12	GAT_embedding_13	GAT_embedding_14	GAT_embedding_15	GAT_embedding_16	GAT_embedding_17	GAT_embedding_18	GAT_embedding_19	GAT_embedding_20	GAT_embedding_21	GAT_embedding_22	GAT_embedding_23	GAT_embedding_24	GAT_embedding_25	GAT_embedding_26	GAT_embedding_27	GAT_embedding_28	GAT_embedding_29	GAT_embedding_30	GAT_embedding_31	GAT_embedding_32
TCGA-3C-AAAU-01	0.099514	0.241040	0.176665	-0.033141	0.087987	-0.148039	-0.357188	0.204127	0.040446	0.013283	0.008415	-0.183474	0.291587	-0.057306	-0.001376	-0.001071	0.090186	-0.123877	0.011940	0.112998	0.199887	0.156415	-0.050605	0.388756	0.209470	0.021247	0.061326	0.123598	0.185762	0.029092	0.114970	-0.104443
TCGA-3C-AALI-01	0.072820	0.219969	0.154495	-0.028401	-0.022907	-0.060470	-0.251451	0.068204	-0.032748	0.030129	0.048231	-0.084203	0.227626	-0.024083	-0.009262	0.032854	0.072225	-0.067576	0.024542	0.088913	0.146977	0.096475	0.024447	0.279908	0.126175	0.046060	0.022832	0.151995	0.080836	0.010439	-0.020596	-0.062824
TCGA-3C-AALJ-01	0.169322	0.272872	0.287766	-0.056179	0.013407	-0.109680	-0.306727	0.264986	0.105169	0.098640	-0.034709	-0.144338	0.379563	-0.026664	0.152676	0.134348	0.134295	-0.245610	0.102365	0.187730	0.219706	0.192640	0.010047	0.494803	0.289921	-0.040935	0.027908	0.342610	0.109800	0.051679	-0.021315	-0.038022
TCGA-3C-AALK-01	0.078878	0.060634	0.198681	-0.047124	0.044423	-0.069722	-0.056549	0.347213	0.156582	0.032348	-0.083118	-0.046078	0.216759	0.010106	0.226786	0.196164	0.127931	-0.152453	0.130816	0.161931	0.092769	0.079858	-0.065038	0.359959	0.153460	-0.227210	-0.009018	0.274901	-0.014888	0.095581	0.017068	0.045051
TCGA-4H-AAAK-01	-0.065040	-0.289573	0.000261	-0.035216	0.114377	-0.010965	0.332379	0.440737	0.219421	-0.089747	-0.172308	0.095287	-0.081886	0.072500	0.293456	0.235558	0.087396	0.017899	0.141150	0.081872	-0.105909	-0.080072	-0.187306	0.085805	-0.046708	-0.479659	-0.057687	0.096863	-0.174276	0.142503	0.119963	0.162471
TCGA-5L-AAT0-01	-0.053759	-0.268166	0.026842	-0.035156	0.131942	-0.037051	0.292358	0.475097	0.232835	-0.084375	-0.167328	0.062681	-0.053112	0.057036	0.299542	0.238277	0.105542	-0.011210	0.148629	0.106384	-0.068735	-0.061956	-0.199820	0.134280	-0.010638	-0.464364	-0.049035	0.116311	-0.157811	0.150821	0.145846	0.143902
TCGA-5T-A9QA-01	0.216401	0.397702	0.314781	-0.030747	-0.009252	-0.108873	-0.433224	0.197498	0.079051	0.159663	-0.012309	-0.209863	0.463403	-0.059872	0.095777	0.098562	0.131141	-0.267393	0.088977	0.140892	0.261016	0.258178	0.064249	0.573185	0.321917	0.051927	0.058870	0.368775	0.171822	0.011114	-0.056314	-0.063270
TCGA-A1-A0SB-01	-0.202643	-0.304438	-0.342901	0.062584	-0.056717	0.116231	0.306030	-0.412753	-0.155547	-0.091937	0.094553	0.177150	-0.409384	0.058548	-0.218494	-0.219915	-0.194773	0.229528	-0.173048	-0.214051	-0.241951	-0.226181	0.014274	-0.574699	-0.293174	0.111771	-0.030414	-0.418858	-0.102925	-0.093666	0.006086	0.018534
TCGA-A1-A0SF-01	-0.092387	-0.232678	0.008499	-0.021519	0.111843	-0.036432	0.266008	0.393452	0.179122	-0.098603	-0.116578	0.050736	-0.056838	0.040236	0.215018	0.198760	0.096165	0.031591	0.118236	0.058275	-0.079032	-0.073885	-0.189115	0.105185	-0.073154	-0.418405	-0.031074	0.062710	-0.138087	0.134363	0.122979	0.125745
TCGA-A1-A0SG-01	0.037566	0.229636	0.178272	-0.006985	0.061078	-0.127187	-0.300221	0.161328	-0.003286	-0.002341	0.082102	-0.150450	0.274891	-0.087761	-0.059598	0.024114	0.111576	-0.049535	-0.004714	0.096984	0.136087	0.110963	-0.071560	0.357774	0.096542	0.006566	0.071342	0.122805	0.133172	0.038225	0.043759	-0.069405
TCGA-A1-A0SI-01	-0.088648	-0.123642	0.027695	-0.016825	0.089872	-0.053047	0.136758	0.300041	0.110111	-0.092457	-0.054509	0.003401	0.002198	0.012841	0.112906	0.135703	0.089418	0.037696	0.073457	0.042347	-0.041630	-0.043719	-0.156278	0.131108	-0.068050	-0.309004	-0.002300	0.035801	-0.067214	0.105939	0.101640	0.073298
TCGA-A1-A0SN-01	0.088041	0.240834	0.229633	-0.033310	0.008108	-0.089073	-0.237007	0.234412	0.069556	0.048799	-0.000062	-0.120911	0.319061	-0.039672	0.089145	0.134367	0.133195	-0.135407	0.096046	0.102414	0.144767	0.139567	-0.014580	0.428372	0.141653	-0.096323	0.038366	0.264561	0.082722	0.061020	-0.027068	-0.010548
TCGA-A1-A0SQ-01	0.059764	0.088701	0.143904	-0.038475	0.110471	-0.137884	-0.187574	0.325426	0.115794	-0.015645	-0.038880	-0.123671	0.219308	-0.029435	0.096217	0.087640	0.102013	-0.132762	0.068902	0.145707	0.137488	0.102838	-0.122630	0.377298	0.169620	-0.156047	0.033636	0.141595	0.099470	0.073622	0.144653	-0.029242
TCGA-A2-A0CK-01	-0.142235	-0.458217	-0.072946	-0.028367	0.123796	0.024698	0.538303	0.458440	0.265110	-0.110708	-0.204117	0.168380	-0.231469	0.093929	0.334042	0.264479	0.067383	0.062367	0.154405	0.046128	-0.186056	-0.166836	-0.226571	-0.059810	-0.138063	-0.567250	-0.084149	0.031904	-0.282049	0.158416	0.129273	0.214513
TCGA-A2-A0CO-01	-0.067823	-0.327420	0.008444	-0.042201	0.105276	-0.006285	0.384529	0.459603	0.253350	-0.070416	-0.191269	0.107157	-0.103531	0.078248	0.340856	0.256681	0.082148	-0.021941	0.162630	0.096370	-0.099262	-0.091130	-0.188095	0.071463	-0.036479	-0.487477	-0.070652	0.115023	-0.207690	0.145841	0.112269	0.178777
TCGA-A2-A0CR-01	-0.129446	-0.398604	-0.072873	-0.028495	0.070334	0.053006	0.495743	0.341951	0.209608	-0.086183	-0.171789	0.173149	-0.229143	0.096734	0.282561	0.222270	0.039151	0.054763	0.129106	0.029223	-0.165759	-0.155255	-0.160145	-0.103328	-0.133102	-0.457921	-0.077991	0.026081	-0.274082	0.123767	0.070575	0.197247
