sample_id	attention_latent_1	attention_latent_2	attention_latent_3	attention_latent_4	attention_latent_5	attention_latent_6	attention_latent_7	attention_latent_8	attention_latent_9	attention_latent_10	attention_latent_11	attention_latent_12	attention_latent_13	attention_latent_14	attention_latent_15	attention_latent_16	attention_latent_17	attention_latent_18	attention_latent_19	attention_latent_20	attention_latent_21	attention_latent_22	attention_latent_23	attention_latent_24	attention_latent_25	attention_latent_26	attention_latent_27	attention_latent_28	attention_latent_29	attention_latent_30	attention_latent_31	attention_latent_32
TCGA-3C-AAAU-01	1.275922	0.402013	0.179958	1.558740	1.438489	-0.007155	-0.311159	-0.599715	-1.119190	-0.348755	0.380793	0.079069	0.068737	-1.409755	0.816816	0.634263	-0.103474	0.753483	-3.117385	0.333738	0.907272	-2.019503	0.738633	-0.124192	-0.542320	-0.607388	0.210368	-0.782506	0.187841	2.108520	-0.053034	-1.136184
TCGA-3C-AALI-01	0.489547	0.319097	0.755993	1.339895	-0.891180	-1.418516	0.569954	-1.581234	0.019780	0.716546	0.649582	0.197319	-0.603991	-1.739922	0.674858	-0.974467	0.229113	1.465321	0.287862	-0.477829	0.762049	-1.002073	-0.117176	0.283601	0.716222	-1.339480	0.682597	-0.111783	0.196175	1.163404	0.302312	-1.795563
TCGA-3C-AALJ-01	-0.126184	0.644011	-0.306166	0.378669	1.189178	-0.981065	-1.026376	0.234430	0.886364	1.522390	1.242510	-0.920436	0.418141	-0.789820	-0.762696	-0.533536	1.206348	1.097743	-1.057065	0.870965	1.417368	-1.338217	-0.073619	-0.088793	-2.303112	-0.832536	-0.577349	-1.897391	-0.144451	1.124687	0.515048	0.777701
TCGA-3C-AALK-01	0.140336	-0.559277	-0.817062	0.660975	-0.138155	-0.040048	0.200096	0.271125	1.552904	1.538877	-0.977457	0.425698	-0.991038	-0.511461	0.375777	1.220971	-0.454864	-1.029742	1.020162	-0.265531	0.328808	1.430589	-1.498096	-0.712015	0.055445	0.254921	0.727658	-0.445639	-1.350098	-0.654497	0.428835	-0.154049
TCGA-4H-AAAK-01	0.528397	-0.102164	0.775993	0.430349	-0.706465	0.575804	-0.058426	1.436115	-0.287386	-0.089689	0.687823	-0.611529	-0.031888	0.462128	-0.211433	0.313137	-1.382137	-1.362669	0.546066	0.866782	0.613852	0.404612	-0.955230	-0.694490	0.743109	1.008547	0.673772	-1.489764	-1.051481	-0.461777	-0.121366	-0.556695
TCGA-5L-AAT0-01	0.404530	-0.622203	1.312423	0.232227	-0.349876	0.387348	-1.271257	0.721388	-0.242186	0.262782	0.137150	-0.159247	-0.207271	-0.399153	-0.270299	1.226265	-1.069881	1.001087	0.249388	0.818834	0.008917	0.179662	-1.808241	-0.337075	1.369707	1.412217	0.708629	-2.137353	-0.947471	-0.036022	-0.532889	-0.137551
TCGA-5T-A9QA-01	-0.534945	0.779124	-1.696370	2.068805	-1.435984	1.099559	-0.229088	0.016424	-0.318687	0.444269	1.910319	-0.220837	-0.846572	0.200370	0.884486	-2.324136	1.289028	-1.194631	-0.911838	-0.418622	1.011694	0.116146	-0.134775	-0.423755	-1.356789	0.147602	0.589400	-0.467349	-0.107547	0.057677	0.919320	1.223030
TCGA-A1-A0SB-01	-0.702915	0.433060	0.497358	-1.639665	0.208753	0.753314	0.746660	0.627619	0.130224	-0.977163	-2.001306	0.106557	0.746278	2.063280	0.408657	-0.348898	-2.043827	-0.545779	-0.254308	0.430738	-0.336571	-0.481455	0.310264	0.842313	1.073161	-0.148567	-0.869191	2.390988	1.182394	-1.567330	-0.458480	-0.786049
TCGA-A1-A0SF-01	0.348290	-1.748502	-0.055656	0.408450	0.426239	0.026563	-0.292614	-0.628012	-0.077166	-0.772356	0.174931	0.059130	-1.128125	-1.285234	1.150565	1.416025	-0.663594	0.351956	-0.098643	1.444541	0.185870	0.869385	-1.475772	0.609309	1.614381	0.070189	0.329915	-0.391397	-0.815612	0.498154	-0.517826	-0.113365
TCGA-A1-A0SG-01	-0.502725	-0.476499	1.336368	-0.331025	0.537734	0.815660	-0.294474	-0.930406	0.086633	-1.210401	-0.505792	-0.390243	0.449365	0.768421	2.497680	0.108914	-0.915042	0.802041	1.166404	-0.364591	0.178985	-0.790268	-1.395775	-2.029249	0.795338	-0.938178	1.437264	0.131593	-0.422202	0.372369	-0.064808	0.156131
TCGA-A1-A0SI-01	-0.565488	-1.047930	0.611966	-0.733205	1.201489	-1.097806	0.422477	-1.044116	0.911171	1.448854	-0.803061	0.032416	0.607183	0.020088	0.782615	0.850087	0.017575	0.045794	1.236043	-0.506552	-1.097929	0.433286	1.208303	0.467353	0.208601	-0.130930	-1.097976	-0.623858	0.474820	-0.306471	0.163507	-2.316818
TCGA-A1-A0SN-01	-1.870806	-0.358552	-0.887937	0.527804	-1.516578	1.062882	-1.103065	-0.375214	0.985875	0.897782	0.749691	-0.225592	-0.071454	-0.655818	1.623094	0.819978	1.515636	-0.143330	1.475575	-0.922146	0.230833	-0.197584	-0.012029	0.421861	-0.311541	-1.613934	0.805653	-0.029787	-0.202051	0.182732	-0.029709	-0.716004
TCGA-A1-A0SQ-01	-0.876881	-1.152359	0.754053	-0.003089	1.373891	0.341138	-1.801937	-0.968037	-0.037882	-1.297125	0.614344	2.424533	2.053425	-0.562954	-0.000912	0.631276	0.678361	-0.745370	-0.956968	-0.286967	0.926113	-1.382223	0.887728	0.272615	0.318876	0.088377	-0.121232	-0.948282	-0.311161	-0.059848	0.587105	-0.607852
TCGA-A2-A0CK-01	0.663400	0.000228	-0.302505	-0.265327	-0.464984	0.569844	-0.563540	0.592721	-0.303047	-0.209479	-0.029093	-0.692010	1.518934	0.423688	0.379540	1.146997	0.345706	-0.593498	0.898303	0.138605	-1.277037	-0.101505	-2.396446	-0.867834	0.157198	1.300152	0.308311	-1.469158	-1.031255	1.745881	0.147473	0.280610
TCGA-A2-A0CO-01	-0.483738	-1.223271	0.102758	-0.405836	0.407858	-1.521322	-0.849758	-1.094240	-0.104094	0.414410	0.391670	-0.294938	0.178748	0.340770	-0.596411	1.824263	0.652634	-1.281161	0.159748	-0.607247	-0.400229	1.922788	-1.061903	0.121426	1.457503	0.705629	-0.593294	0.506404	-0.677929	0.681293	1.301581	-0.010840
TCGA-A2-A0CR-01	-0.250222	-0.963726	-0.181882	-0.019871	-0.329703	-0.672396	-1.206177	-0.060040	-1.254326	0.676965	0.234961	-0.519958	-1.269835	-0.154870	-1.099575	1.420367	0.570153	-0.138970	0.958390	0.004405	0.217138	1.892331	-1.985400	0.731946	1.564925	0.950208	0.236530	0.966670	-0.682984	-0.195034	0.515758	0.080440
TCGA-A2-A0EP-01	-0.179112	1.019361	-0.233899	0.122103	1.558058	0.641350	-0.679469	-0.224528	-1.173429	0.165124	-0.870977	-2.184204	-0.364682	-1.490933	-1.665688	-0.026937	-0.043627	-0.060904	1.334572	-0.068986	0.384133	1.274564	-0.427917	1.885593	0.591830	1.008121	-0.042865	-0.207133	0.144625	-0.130085	0.921808	-1.052138
TCGA-A2-A1FV-01	0.043769	-0.740960	-1.003328	0.046899	0.918656	-2.275986	-1.081050	-0.521185	1.223502	-0.146120	0.438300	0.669122	-0.087569	0.521043	0.827154	0.570637	1.256906	-1.531236	-0.700951	0.582592	0.125129	-0.617898	-1.052272	0.444765	-0.475944	0.423713	-0.341354	0.349596	-2.260813	1.569111	1.433059	1.308826
TCGA-A2-A1FW-01	-0.130604	0.239825	-1.448437	0.329876	1.663039	-1.749964	-0.893474	-0.143059	1.143022	-1.074850	1.564791	1.202318	0.015993	-0.865110	1.126264	0.200156	0.954753	-0.514737	-2.028141	0.390325	0.581834	-0.538120	-1.373318	0.655766	0.243536	-0.434770	0.033240	0.874074	-1.382496	0.639490	-0.830656	1.517220
TCGA-A2-A1FX-01	1.115693	-0.344027	-0.175455	-0.257928	0.444110	-0.949937	-1.821469	1.289942	0.498799	-1.331783	1.630002	0.861202	-2.200815	0.365308	1.070600	0.223202	0.779396	0.905715	-0.768134	0.629576	0.368067	-0.740130	-0.612463	-1.239116	-1.346779	-0.233027	0.807968	0.330705	-0.965680	1.056661	0.140022	0.372246
TCGA-A2-A1FZ-01	0.149592	0.280708	-1.263877	0.263494	1.097705	0.271702	-0.832546	-0.214825	-0.615771	0.834577	0.089049	-0.290539	0.711325	0.737827	0.783426	0.523340	-0.350151	-1.531394	0.251530	0.265632	-0.562094	0.106336	-0.324510	-0.463353	0.798781	0.050955	0.389086	0.036036	-0.752898	-0.905018	0.532347	-0.020634
TCGA-A2-A1G0-01	0.451583	-0.512107	1.294054	0.065814	1.110375	0.042124	-0.723004	-0.103837	-0.857642	-1.465653	-0.183624	-0.290584	0.943918	1.281751	0.034898	1.188457	-1.862131	0.793851	-0.349173	1.266125	-1.332050	-0.475931	-0.405970	-1.328914	0.955164	0.962378	0.226454	-0.240235	-0.992773	0.001180	-0.265539	0.634452
TCGA-A2-A1G1-01	0.897950	0.863157	-1.085042	-1.739612	-1.624266	0.237963	0.707563	0.012743	1.332796	-1.029422	0.751761	0.164238	1.496720	1.062375	-1.526917	0.142389	1.711132	0.141989	1.776725	-0.252690	0.253686	-1.658119	0.029155	-0.630337	-0.536207	-1.819291	-0.585798	0.521900	1.397925	-0.790423	-0.258088	-0.177422
TCGA-A2-A1G4-01	-0.133211	-0.335312	-1.044351	0.832702	0.749030	1.873213	-0.936430	0.096945	0.043285	0.786594	-2.081307	1.247897	0.942937	1.168766	0.530032	-1.603078	0.755918	-1.158177	0.467039	-0.241921	-0.756084	-0.167211	-1.255708	-0.416203	-0.134959	0.327854	0.606322	-0.370952	-1.618584	0.726831	-0.172861	1.447679
TCGA-A2-A1G6-01	0.039513	-0.632300	0.128692	0.743576	0.207215	0.195140	-0.095270	0.177351	-1.138840	-0.649981	0.138086	-0.881904	0.121888	1.950594	-1.052006	1.296719	-1.290967	-0.099149	0.510144	0.278378	-2.076662	0.247350	-0.828325	0.279306	1.444451	1.263541	0.165946	0.716776	0.099185	-1.571188	-0.128308	0.438124
TCGA-A2-A259-01	-0.928710	0.056239	0.627915	1.285874	0.270705	-1.028347	0.325937	1.270698	-1.937771	-0.135571	-0.045922	0.840955	0.466076	-0.768907	-0.900930	0.816735	-0.885343	0.936047	0.865783	0.862864	-1.413788	0.458463	-1.211514	-1.352314	0.017394	0.710891	0.807442	-0.008495	0.025864	-1.127374	0.665158	0.421321
