sample_id	RNA_neural_1	RNA_neural_2	miRNA_neural_1	miRNA_neural_2	shared_neural_1	shared_neural_2
TCGA-3C-AAAU-01	-0.352438	0.435493	-0.433286	0.277797	-0.392862	0.356645
TCGA-3C-AALI-01	-0.095239	0.231455	-0.178683	-0.149754	-0.136961	0.040850
TCGA-3C-AALJ-01	-0.336596	0.486342	-0.217120	0.064483	-0.276858	0.275412
TCGA-3C-AALK-01	-0.088860	0.113917	-0.313011	0.121077	-0.200935	0.117497
TCGA-4H-AAAK-01	-0.179999	0.270991	-0.117207	-0.015790	-0.148603	0.127601
TCGA-5L-AAT0-01	-0.160582	0.195143	-0.300235	0.104554	-0.230409	0.149849
TCGA-5T-A9QA-01	-0.571625	0.335550	-0.495582	0.137197	-0.533603	0.236374
TCGA-A1-A0SB-01	1.080611	-1.287432	0.799131	-0.920978	0.939871	-1.104205
TCGA-A1-A0SF-01	-0.178006	0.397438	-0.281872	0.257088	-0.229939	0.327263
TCGA-A1-A0SG-01	-0.194527	0.203441	-0.223385	0.065054	-0.208956	0.134247
TCGA-A1-A0SI-01	-0.154210	0.132090	-0.144364	0.037742	-0.149287	0.084916
TCGA-A1-A0SN-01	-0.047581	0.037044	-0.239116	0.086109	-0.143349	0.061576
TCGA-A1-A0SQ-01	-0.496840	0.504035	-0.514449	0.211875	-0.505645	0.357955
TCGA-A2-A0CK-01	-0.304241	0.279942	-0.275425	0.062845	-0.289833	0.171394
TCGA-A2-A0CO-01	-0.362687	0.284063	-0.379378	0.177704	-0.371032	0.230884
TCGA-A2-A0CR-01	-0.209308	0.298660	-0.304615	0.106273	-0.256962	0.202467
TCGA-A2-A0EP-01	-0.442731	0.255703	-0.340206	0.148569	-0.391469	0.202136
TCGA-A2-A1FV-01	-0.496117	0.596566	-0.549011	0.307139	-0.522564	0.451853
TCGA-A2-A1FW-01	-0.463038	0.658142	-0.488853	0.336504	-0.475945	0.497323
TCGA-A2-A1FX-01	-0.445494	0.323063	-0.587423	0.195266	-0.516459	0.259164
TCGA-A2-A1FZ-01	-0.248140	0.249605	-0.244107	-0.052487	-0.246123	0.098559
TCGA-A2-A1G0-01	-0.225318	0.204189	-0.233115	0.081618	-0.229217	0.142904
TCGA-A2-A1G1-01	1.370390	-1.507048	0.931314	-0.904028	1.150852	-1.205538
TCGA-A2-A1G4-01	-0.309997	0.220549	-0.359702	0.096077	-0.334849	0.158313
TCGA-A2-A1G6-01	-0.253630	0.191582	-0.239131	0.018544	-0.246381	0.105063
TCGA-A2-A259-01	-0.123956	0.159434	-0.338753	0.177379	-0.231354	0.168406
TCGA-A2-A25A-01	-0.170719	0.053205	-0.376198	0.090374	-0.273459	0.071789
TCGA-A2-A25B-01	-0.195207	0.373736	-0.313630	0.152981	-0.254418	0.263358
TCGA-A2-A25C-01	-0.124728	0.178416	-0.474753	0.136885	-0.299740	0.157650
TCGA-A2-A25D-01	-0.084917	0.193397	0.083456	0.003451	-0.000730	0.098424
TCGA-A2-A25E-01	-0.352571	0.244952	-0.195409	0.100318	-0.273990	0.172635
TCGA-A2-A25F-01	0.510322	-0.669298	0.141775	-0.278956	0.326048	-0.474127
TCGA-A2-A3KC-01	-0.193284	0.247348	-0.213465	0.018312	-0.203374	0.132830
TCGA-A2-A3KD-01	-0.405317	0.439297	-0.388941	0.187102	-0.397129	0.313199
TCGA-A2-A3XS-01	1.690668	-1.898237	1.253568	-1.180590	1.472118	-1.539414
TCGA-A2-A3XT-01	1.140062	-1.253343	0.796901	-0.798433	0.968481	-1.025888
TCGA-A2-A3XU-01	1.452651	-1.535468	0.920716	-0.873232	1.186683	-1.204350
TCGA-A2-A3XV-01	0.148471	-0.355556	-0.022527	-0.222624	0.062972	-0.289090
TCGA-A2-A3XW-01	0.182414	-0.280446	0.056150	-0.292100	0.119282	-0.286273
TCGA-A2-A3XX-01	1.485401	-1.627407	0.859019	-0.862502	1.172210	-1.244954
TCGA-A2-A3XY-01	1.183074	-1.135882	0.740508	-0.778003	0.961791	-0.956942
TCGA-A2-A3XZ-01	0.074727	-0.021563	-0.069394	-0.038924	0.002666	-0.030243
TCGA-A2-A3Y0-01	1.382217	-1.558188	0.989802	-0.871298	1.186009	-1.214743
TCGA-A2-A4RW-01	-0.299556	0.337750	-0.511069	0.218961	-0.405313	0.278355
TCGA-A2-A4RX-01	0.968799	-0.999545	0.750523	-0.705710	0.859661	-0.852628
TCGA-A2-A4RY-01	-0.097215	0.156724	-0.307754	0.162072	-0.202485	0.159398
TCGA-A2-A4S0-01	-0.857755	0.384277	-0.661719	0.169842	-0.759737	0.277060
TCGA-A2-A4S1-01	0.368460	-0.166714	0.269768	-0.150995	0.319114	-0.158854
TCGA-A2-A4S2-01	-0.157633	0.240425	-0.284523	0.128671	-0.221078	0.184548
TCGA-A2-A4S3-01	-0.443169	0.293229	0.008368	-0.115820	-0.217401	0.088705
TCGA-A7-A13D-01	1.497061	-1.649527	0.992348	-1.070735	1.244704	-1.360131
TCGA-A7-A13E-01	1.763852	-1.738584	1.127863	-1.079872	1.445858	-1.409228
TCGA-A7-A13F-01	-0.218316	0.184041	-0.224444	0.090001	-0.221380	0.137021
TCGA-A7-A13G-01	-0.259619	0.407752	-0.358728	0.237468	-0.309174	0.322610
TCGA-A7-A13H-01	-0.103048	0.184021	-0.148175	0.092376	-0.125612	0.138198
TCGA-A7-A26E-01	-0.243496	0.167072	-0.209464	0.064304	-0.226480	0.115688
TCGA-A7-A26F-01	0.788493	-0.861509	0.450694	-0.552639	0.619594	-0.707074
TCGA-A7-A26G-01	0.568350	-0.667121	0.374984	-0.381709	0.471667	-0.524415
TCGA-A7-A26H-01	-0.110931	0.245504	-0.127174	-0.000905	-0.119053	0.122300
TCGA-A7-A26I-01	1.045520	-1.219779	0.453734	-0.573560	0.749627	-0.896669
TCGA-A7-A26J-01	-0.169487	0.254636	-0.242180	0.085858	-0.205834	0.170247
TCGA-A7-A2KD-01	-0.140974	0.198522	-0.220174	0.087525	-0.180574	0.143023
TCGA-A7-A3IY-01	-0.079329	-0.059468	-0.002881	-0.181976	-0.041105	-0.120722
TCGA-A7-A3IZ-01	-0.674801	0.484263	-0.328141	0.115914	-0.501471	0.300088
TCGA-A7-A3J0-01	-0.830160	0.164567	-0.742002	0.067034	-0.786081	0.115801
TCGA-A7-A3J1-01	-0.169281	0.348922	-0.240560	0.027113	-0.204921	0.188017
TCGA-A7-A3RF-01	-0.527349	0.514704	-0.542123	0.188319	-0.534736	0.351511
TCGA-A7-A425-01	-0.239699	0.304047	-0.435006	0.174472	-0.337353	0.239260
TCGA-A7-A426-01	-0.289180	0.355786	-0.396061	0.196696	-0.342620	0.276241
TCGA-A7-A4SA-01	-0.385363	0.141995	-0.321049	0.148482	-0.353206	0.145239
TCGA-A7-A4SB-01	-0.335656	0.277035	-0.240832	0.018785	-0.288244	0.147910
TCGA-A7-A4SC-01	-0.479688	0.408580	-0.323054	0.043636	-0.401371	0.226108
TCGA-A7-A4SD-01	1.396663	-1.406862	0.575955	-0.600619	0.986309	-1.003741
TCGA-A7-A4SE-01	0.979847	-0.988509	0.605931	-0.594657	0.792889	-0.791583
TCGA-A7-A4SF-01	-0.539389	0.321326	-0.467875	0.142132	-0.503632	0.231729
TCGA-A7-A56D-01	-0.072073	0.069730	-0.055697	0.005514	-0.063885	0.037622
TCGA-A7-A5ZV-01	1.209382	-1.473929	1.103099	-1.189667	1.156240	-1.331798
TCGA-A7-A5ZW-01	-0.036302	0.146399	-0.174770	0.050220	-0.105536	0.098309
TCGA-A7-A5ZX-01	-0.257363	0.273171	-0.273881	0.100919	-0.265622	0.187045
TCGA-A7-A6VV-01	1.425126	-1.494507	0.689085	-0.712601	1.057105	-1.103554
TCGA-A7-A6VW-01	1.217649	-1.179963	1.015166	-0.952879	1.116407	-1.066421
TCGA-A7-A6VX-01	-0.033051	0.133079	-0.357431	0.192957	-0.195241	0.163018
TCGA-A7-A6VY-01	1.536011	-1.704122	0.888664	-0.857794	1.212337	-1.280958
TCGA-AC-A23C-01	-0.241891	0.264639	-0.350383	0.126957	-0.296137	0.195798
TCGA-AC-A23E-01	-0.103064	0.160329	-0.286351	0.052449	-0.194707	0.106389
TCGA-AC-A23G-01	-0.033504	0.108844	-0.167571	0.076269	-0.100537	0.092556
TCGA-AC-A23H-01	-0.363837	0.187382	-0.390722	0.069245	-0.377279	0.128313
TCGA-AC-A2B8-01	-0.193784	0.391071	-0.361864	0.088959	-0.277824	0.240015
TCGA-AC-A2BK-01	0.958961	-0.862247	0.493167	-0.530008	0.726064	-0.696127
TCGA-AC-A2BM-01	-0.305478	0.306199	-0.313203	0.101193	-0.309340	0.203696
TCGA-AC-A2FB-01	-0.165017	0.124802	-0.231147	0.143077	-0.198082	0.133940
TCGA-AC-A2FE-01	-0.311259	0.372267	-0.224303	0.172949	-0.267781	0.272608
TCGA-AC-A2FF-01	-0.103853	0.036652	-0.093861	-0.097053	-0.098857	-0.030201
TCGA-AC-A2FG-01	-0.230489	0.287622	-0.327902	0.092969	-0.279195	0.190296
TCGA-AC-A2FK-01	0.076964	-0.172478	0.031887	-0.214360	0.054426	-0.193419
TCGA-AC-A2FM-01	-0.497416	0.507518	-0.537876	0.303112	-0.517646	0.405315
TCGA-AC-A2FO-01	-0.257083	0.296965	-0.405085	0.220391	-0.331084	0.258678
TCGA-AC-A2QH-01	0.735638	-0.734020	0.510428	-0.516428	0.623033	-0.625224
TCGA-AC-A2QI-01	-0.257286	0.158176	-0.396655	0.078016	-0.326971	0.118096
TCGA-AC-A2QJ-01	1.192623	-1.301715	0.516110	-0.608887	0.854367	-0.955301
TCGA-AC-A3BB-01	-0.206057	0.405970	-0.235709	0.111649	-0.220883	0.258809
TCGA-AC-A3EH-01	-0.274992	0.159806	-0.374591	0.124129	-0.324791	0.141968
TCGA-AC-A3HN-01	-0.183686	0.244805	-0.380482	0.156462	-0.282084	0.200634
TCGA-AC-A3OD-01	-0.190017	0.249943	-0.229593	0.099041	-0.209805	0.174492
TCGA-AC-A3QP-01	-0.072953	0.167651	-0.281912	0.116722	-0.177433	0.142187
TCGA-AC-A3QQ-01	-0.042179	0.174570	-0.308673	0.163983	-0.175426	0.169277
TCGA-AC-A3TM-01	-0.166514	0.289810	-0.290601	0.064621	-0.228558	0.177215
TCGA-AC-A3TN-01	-0.275340	0.264269	-0.296552	0.154586	-0.285946	0.209428
