	Factor1	Factor2	Factor3	Factor4	Factor5
cg01682111	0.42329303111097305	-0.36829916155776865	0.0017119143702053969	0.013206599801930664	0.07633956104292895
cg27260772	-0.1633080013038174	0.4810637125801302	0.11181267705126642	0.2576414994095822	-0.1205355561190917
cg17882374	-0.3056069386984364	0.19704802636593177	-0.022971740762587525	0.057596779031712945	0.06983649725118707
cg11738485	0.19257781086215706	-0.024790011510948357	0.032548664222776774	-0.022936998606893647	0.008088112757564282
cg27363327	0.36099593059868135	0.24228511305148617	0.6061577822888362	-0.024048441562356318	0.09227812574634335
cg16620382	0.3691997382217936	0.23476146494268482	0.5667584659892781	-0.00863277254153788	0.07628470171940469
cg17463633	-0.6186650983540274	0.06826211933493141	0.004546014679112393	0.07667602059098153	0.4721651530763327
cg14193007	-0.27123777085217543	0.19003077064505697	0.0814437541697456	0.09604552068965092	-0.016822288099278826
cg13251533	-0.5576863851332858	0.14027760320048915	0.15398077218537332	-0.04891298479574196	0.12391923133014376
cg24751154	-0.42964168126193186	-0.12402111312382966	0.09899423253116077	0.08883815676919819	0.7146170959144431
cg21885317	-0.27826933751436767	0.08631810020111141	0.10551674456504169	-0.15638999054922242	0.01837579565273222
cg24506221	-0.002386689686251578	0.09053057793715322	0.060584577918264965	-0.007283949819313328	-0.01040213106108074
cg09557387	0.5270996005466014	0.05576651501000097	0.322726415543978	-0.003052477968143222	-0.002331297189328195
cg20693607	0.574619800018377	0.1822661910697632	0.1977498974788562	0.13475769083094039	-0.1965789281845448
cg14715697	-0.40042591736017596	-0.021494082455781504	0.20225685875044505	-0.1589275907281514	0.5390904510258803
cg08435683	-0.5338875329962425	0.23957730153901113	0.001124405860790788	-0.09385109841266062	0.05492364660151542
cg27493151	0.37416215190270924	-0.02691929108690004	0.33612844354518817	-0.06192897738077871	0.022438166794031232
cg04194055	-0.2634714938688809	0.1879413987935985	0.08569865976264807	0.10160954588931576	-0.01725721443365359
cg22348992	-0.3622683829160065	-0.008353213672955223	0.1401400115791307	-0.2276412101933932	0.497835518599705
cg00467244	0.3214504281142624	0.06710995027907761	0.3873331607051531	0.016345632661156764	0.16602670800560784
cg12036633	0.0609038019094691	0.007938476743861332	-0.02273087133121719	-0.034624288399620604	-0.0065037302982733185
cg10342963	-0.5087557203988032	0.03271114800452807	0.16695987667210896	-0.21562726023940892	-0.00033960742654926804
cg23357130	-0.16260208473975135	0.2310320466778346	0.35063202782709485	-0.17815575566867198	-0.004776860886259995
cg01893212	0.599390128784147	-0.008961531783735823	0.4700996248145863	-0.01794455179479496	0.00036247418814748874
cg01252526	0.0002004540463793859	-0.17166933358141967	0.059075051218739745	-0.02927756471408824	0.11868565601782177
cg27586797	0.11307256486771008	-0.09065354808961462	-0.01255913821755279	-0.033792291879517586	0.005441076683521807
cg01811882	-0.3390056951539501	0.01852418317562717	0.014833505483600393	0.2251595672327527	0.5912742394890628
cg09094964	-0.18632649452486624	-0.0018937170657480386	-0.01515574122425106	0.25486552048142525	0.19022619953687767
cg07570470	0.6536959277467053	-0.17963881543216184	0.19588665248976248	0.13381370869522782	0.0055485922345068625
cg14262681	0.13993900131517759	0.31779355549478555	0.42916484508500974	-0.011381626917474378	0.29990228239999367
cg09068128	-0.32728917886857645	0.2222944851071597	0.2467657050520683	-0.07384451865578397	0.5195825287346368
cg07813142	0.36725102979401947	0.21762835457839177	0.5140346158294239	0.09224338056392865	-0.0010791978775981925
cg27436995	0.3201124020973722	-0.12764971644016448	0.21935286828633385	-0.0506656719116582	0.11181094693284323
cg17219660	-0.6571428715059462	0.16314360373455158	0.05199773094478155	-0.10180639011139477	0.05484770095028118
cg19486070	0.22313062228436076	-0.13820409523121663	0.16162815613233072	0.009172784106883321	0.22030344851200392
cg12680131	-0.21865201670430828	-0.18155960626484768	0.0983017353489639	0.10575820522878661	0.6321473904348859
cg19980771	0.5176526397996334	0.10753699908335163	0.3347306380273423	0.0030333030378351103	0.08314614833520557
cg16252110	0.142391137582781	-0.3439245078501154	0.21180231924551907	-0.0043912595453438315	0.5903492214917593
cg14859874	0.0509131599923601	-0.06716636407537004	0.025794451008999575	0.008567461336025864	-0.0020140845019962095
cg11863717	0.6084087168602579	0.012827420192964926	0.2879391062791754	-0.008531331638204189	-0.0016189861129090543
cg02003183	0.001365872577764379	0.37259882939462285	0.21047881937810814	0.44560935879490726	0.0006452932034865343
cg08901662	0.5042893235962843	0.046755854642344614	0.5037417056005176	-0.0023911504146923186	0.11504795657504475
cg17721710	0.5769865438617036	0.007876631521415028	0.47448068651850966	-0.031432093605703704	-0.0009467912036858267
cg20415486	-0.7323396155222899	0.0210724254268305	-0.008092558445598756	-0.22565845429612855	0.1038658290305955
cg20399616	0.5398292849002285	0.1724479098300779	0.47479122963091963	-0.01291351271178369	0.02063305860930335
cg04131969	-0.05007138152844014	0.04567004864653656	0.08904518097325767	0.022824167800565693	0.00011494764983668815
cg12356890	0.44064144758907803	0.19155740485801864	0.39590491677773193	0.10616085815366748	-0.02571248281855283
cg03596016	-0.13559501867909401	0.4305887610008011	0.2628143936537027	0.022161260446613085	-0.09325328946611593
cg12539796	0.35851920855273817	0.11397037371291026	0.37170928107752726	-0.049379556957131754	-0.02810237124053849
cg10210594	0.39645033502645166	0.18154476376492143	0.3943386740233414	0.23123920090195807	-0.05877541142020476
cg12415687	0.0987958061238499	-0.2762560911244173	-0.034715991413167856	0.026811863978756026	0.5685596101858917
cg21189438	0.2696493488890213	-0.023724405200005672	0.44066134469188006	-0.09585277049027541	0.0431518598698723
cg16328106	0.30834567292684556	0.1749838084815069	0.23189279449186742	0.17472023046705837	-0.0029851760770989015
cg10069493	0.4670638759956104	0.1216280525197793	0.3516855068202457	-0.0025595843631344966	-0.018109323843208104
cg22831607	0.4889677351225587	0.06954707205307109	0.47742273496940923	-0.09421838313032246	0.15216844215616548
cg08862890	0.5134099149237481	0.07638768647551254	0.5233066745130687	0.08435212944542042	0.08883365473539175
cg15673034	-0.13108053031792155	0.26571811556466646	0.18584958378211727	0.05911326375046658	-0.009514072256472684
cg06404175	0.3553026448116608	0.3622308912194338	0.45241631880495803	0.06991574160787525	-0.009167881841207435
cg02467990	0.6045873463070355	-0.00601338986098487	0.4596799083703654	-0.02744300853488863	-0.00017399783785519688
cg14866200	0.6387607994826977	-0.03861739950886287	0.3707395091694191	0.1328861969907264	0.008811812990675972
cg20776829	0.5678224069560941	0.07910067526865969	0.4212900156408986	-0.0192246365472192	-0.006323296264817581
cg07834955	0.3707350682260046	0.12335192454365992	0.4204004769447237	-0.12261153530010763	0.18880265970513574
cg00211215	0.047639720674644344	0.01768805440611491	0.1432871813103189	0.012625736291408167	0.013592053624036517
cg23179456	0.6206914772581895	-0.0037153705685998894	0.38977391601544187	0.012800573888649924	-0.1254533425370814
cg14117138	0.6026271426762058	-0.0029023059446503623	0.4224773108988667	-0.04056804314781016	0.0021306447801580693
cg21941030	0.6812845305800633	-0.017816647356931357	0.2385746709805087	0.19700888429919697	-0.0015659070414286516
cg04187185	-0.06980694324679106	0.18132493985584913	0.11831125787179887	0.1805864966809698	0.016656658770838082
cg14802502	-0.14968853831036066	-0.2576500946736563	-0.006253056124322322	-0.019610515107167707	0.7266208939541622
cg06741896	-0.2885099400965904	-0.014971166918666042	0.19737197950321658	-0.028915799431807263	0.007749095868963647
cg18888655	0.6398277849847637	-0.1880031214898125	0.12330886161074743	0.06873398954246063	-0.01618677211220353
cg03686593	-0.054394474107559564	0.29129017432038756	0.38710543433240446	-0.01960640679105525	0.11756192246619801
cg10043865	0.5882941490859578	0.048023148360278524	0.370296948978427	0.14779674924009528	0.009328598755258778
cg22830113	0.46806930690058457	0.010913391308021695	0.5046772674446048	-0.10139662087163372	-0.0017127040676283777
cg07486474	0.23898520881509686	-0.3482981818095924	0.0966016273122317	-0.043078829030876835	0.48332546509193774
cg20100745	0.3050896537442927	-0.17488634934527303	0.15840493654933174	0.010089225506863416	0.07693974600041006
cg03616722	-0.2423988145840153	-0.12702288635512726	0.08117066969145811	0.005158340487187147	0.6010449050239739
cg01567173	-0.41481733808540394	0.014909252502412982	0.19705351716594985	0.004529347228413214	0.5609294571052981
cg26388816	0.21397643305257083	0.048396917116561584	0.3232621680664195	0.00043764432226603455	0.015450059580928816
cg16647921	0.26373979400434194	0.28610566629218387	0.3170462613916904	0.18869814484564948	0.22100617902174277
cg01163842	0.4600242050431671	0.10932319545460384	0.49950725077820163	0.008723846347173382	0.050316683608651394
cg22473620	0.5120592405555217	0.1865469023925103	0.36660560133833164	0.06901123072073603	-0.058018731294277585
cg08599635	0.21872269780882397	-0.19014397462543833	0.09900927608636362	0.15858723548808304	0.14173214455126637
cg12747584	-0.48112276947150007	-0.061491460965271284	0.1641111302741793	-0.04667717072382834	0.5542452811966128
cg25267258	-0.3992168972626021	-0.04481321881056845	0.013611513275751847	0.07223442919642852	0.604104408564176
cg05527869	0.6142612649412506	0.011077079898473592	0.3606461450802697	0.14235190877389525	0.005210828314574245
cg25218716	0.19870109799631697	0.2598227908184802	0.3409813049598951	0.0962119483365695	0.12408752994047073
cg08750951	0.6511340279654007	-0.09255068136347973	0.3062277709166415	0.012075003478028111	0.06896506967939821
cg25737323	0.5173241464034031	0.09078833775367864	0.3945689544625509	-0.0591625823800569	-0.0016326512237699023
cg09695735	0.4301216894685072	0.1816013931033634	0.4931605770516137	0.08103286143001	-0.05613258518774418
cg06644655	-0.23691266544303616	-0.21772844700778524	0.1082398034155932	0.00478570939741432	0.7204676264953526
cg18249580	-0.14593034178487815	0.3296626587711406	0.32727598851187606	0.16804236913902856	0.3961380396896691
cg08539872	0.538676131810042	-0.003493988923330517	0.24080762500276395	0.17434995055692382	-0.007086801794439041
cg25830696	0.5884693051121264	0.07345373603640251	0.393787094834321	0.17899732201672727	-0.013804731258745461
cg17935217	-0.31248404916696343	0.37395005291049116	0.22808974067300194	-0.07316771295808183	-0.000844874617252805
cg00773902	0.47023880098859067	0.06115051252300705	0.46921225662189325	-0.07590483356107405	0.0572824503068803
cg12247222	0.5987089091494749	-0.15640458217120004	0.14094124368867342	0.036932999061329845	-0.04822799109671147
cg00399591	0.40285653689157075	-0.3577453769553368	0.017737321653290936	0.10044399782763747	0.12255337331558763
cg18096251	-0.21030968152615642	-0.07201904302374493	0.05722317181097851	-0.12948125641162067	0.5866401852773943
cg22761670	0.37385645109883536	0.09787292484452766	0.2701898807659004	0.044947479588452625	-0.004600932948832035
cg12542255	-0.5595612974209392	-0.007415051925366859	0.11140839416020375	-0.25173468297215057	0.02527256426513634
