modality	feature	factor	loading
Methylation	cg01682111	Factor1	0.423293
Methylation	cg01682111	Factor2	-0.368299
Methylation	cg01682111	Factor3	0.001712
Methylation	cg01682111	Factor4	0.013207
Methylation	cg01682111	Factor5	0.07634
Methylation	cg27260772	Factor1	-0.163308
Methylation	cg27260772	Factor2	0.481064
Methylation	cg27260772	Factor3	0.111813
Methylation	cg27260772	Factor4	0.257641
Methylation	cg27260772	Factor5	-0.120536
Methylation	cg17882374	Factor1	-0.305607
Methylation	cg17882374	Factor2	0.197048
Methylation	cg17882374	Factor3	-0.022972
Methylation	cg17882374	Factor4	0.057597
Methylation	cg17882374	Factor5	0.069836
Methylation	cg11738485	Factor1	0.192578
Methylation	cg11738485	Factor2	-0.02479
Methylation	cg11738485	Factor3	0.032549
Methylation	cg11738485	Factor4	-0.022937
Methylation	cg11738485	Factor5	0.008088
Methylation	cg27363327	Factor1	0.360996
Methylation	cg27363327	Factor2	0.242285
Methylation	cg27363327	Factor3	0.606158
Methylation	cg27363327	Factor4	-0.024048
Methylation	cg27363327	Factor5	0.092278
Methylation	cg16620382	Factor1	0.3692
Methylation	cg16620382	Factor2	0.234761
Methylation	cg16620382	Factor3	0.566758
Methylation	cg16620382	Factor4	-0.008633
Methylation	cg16620382	Factor5	0.076285
Methylation	cg17463633	Factor1	-0.618665
Methylation	cg17463633	Factor2	0.068262
Methylation	cg17463633	Factor3	0.004546
Methylation	cg17463633	Factor4	0.076676
Methylation	cg17463633	Factor5	0.472165
Methylation	cg14193007	Factor1	-0.271238
Methylation	cg14193007	Factor2	0.190031
Methylation	cg14193007	Factor3	0.081444
Methylation	cg14193007	Factor4	0.096046
Methylation	cg14193007	Factor5	-0.016822
Methylation	cg13251533	Factor1	-0.557686
Methylation	cg13251533	Factor2	0.140278
Methylation	cg13251533	Factor3	0.153981
Methylation	cg13251533	Factor4	-0.048913
Methylation	cg13251533	Factor5	0.123919
Methylation	cg24751154	Factor1	-0.429642
Methylation	cg24751154	Factor2	-0.124021
Methylation	cg24751154	Factor3	0.098994
Methylation	cg24751154	Factor4	0.088838
Methylation	cg24751154	Factor5	0.714617
Methylation	cg21885317	Factor1	-0.278269
Methylation	cg21885317	Factor2	0.086318
Methylation	cg21885317	Factor3	0.105517
Methylation	cg21885317	Factor4	-0.15639
Methylation	cg21885317	Factor5	0.018376
Methylation	cg24506221	Factor1	-0.002387
Methylation	cg24506221	Factor2	0.090531
Methylation	cg24506221	Factor3	0.060585
Methylation	cg24506221	Factor4	-0.007284
Methylation	cg24506221	Factor5	-0.010402
Methylation	cg09557387	Factor1	0.5271
Methylation	cg09557387	Factor2	0.055767
Methylation	cg09557387	Factor3	0.322726
Methylation	cg09557387	Factor4	-0.003052
Methylation	cg09557387	Factor5	-0.002331
Methylation	cg20693607	Factor1	0.57462
Methylation	cg20693607	Factor2	0.182266
Methylation	cg20693607	Factor3	0.19775
Methylation	cg20693607	Factor4	0.134758
Methylation	cg20693607	Factor5	-0.196579
Methylation	cg14715697	Factor1	-0.400426
Methylation	cg14715697	Factor2	-0.021494
Methylation	cg14715697	Factor3	0.202257
Methylation	cg14715697	Factor4	-0.158928
Methylation	cg14715697	Factor5	0.53909
Methylation	cg08435683	Factor1	-0.533888
Methylation	cg08435683	Factor2	0.239577
Methylation	cg08435683	Factor3	0.001124
Methylation	cg08435683	Factor4	-0.093851
Methylation	cg08435683	Factor5	0.054924
Methylation	cg27493151	Factor1	0.374162
Methylation	cg27493151	Factor2	-0.026919
Methylation	cg27493151	Factor3	0.336128
Methylation	cg27493151	Factor4	-0.061929
Methylation	cg27493151	Factor5	0.022438
Methylation	cg04194055	Factor1	-0.263471
Methylation	cg04194055	Factor2	0.187941
Methylation	cg04194055	Factor3	0.085699
Methylation	cg04194055	Factor4	0.10161
Methylation	cg04194055	Factor5	-0.017257
Methylation	cg22348992	Factor1	-0.362268
Methylation	cg22348992	Factor2	-0.008353
Methylation	cg22348992	Factor3	0.14014
Methylation	cg22348992	Factor4	-0.227641
Methylation	cg22348992	Factor5	0.497836
Methylation	cg00467244	Factor1	0.32145
Methylation	cg00467244	Factor2	0.06711
Methylation	cg00467244	Factor3	0.387333
Methylation	cg00467244	Factor4	0.016346
Methylation	cg00467244	Factor5	0.166027
Methylation	cg12036633	Factor1	0.060904
Methylation	cg12036633	Factor2	0.007938
Methylation	cg12036633	Factor3	-0.022731
Methylation	cg12036633	Factor4	-0.034624
Methylation	cg12036633	Factor5	-0.006504
Methylation	cg10342963	Factor1	-0.508756
Methylation	cg10342963	Factor2	0.032711
Methylation	cg10342963	Factor3	0.16696
Methylation	cg10342963	Factor4	-0.215627
Methylation	cg10342963	Factor5	-0.00034
Methylation	cg23357130	Factor1	-0.162602
Methylation	cg23357130	Factor2	0.231032
Methylation	cg23357130	Factor3	0.350632
Methylation	cg23357130	Factor4	-0.178156
Methylation	cg23357130	Factor5	-0.004777
Methylation	cg01893212	Factor1	0.59939
Methylation	cg01893212	Factor2	-0.008962
Methylation	cg01893212	Factor3	0.4701
Methylation	cg01893212	Factor4	-0.017945
Methylation	cg01893212	Factor5	0.000362
Methylation	cg01252526	Factor1	0.0002
Methylation	cg01252526	Factor2	-0.171669
Methylation	cg01252526	Factor3	0.059075
Methylation	cg01252526	Factor4	-0.029278
Methylation	cg01252526	Factor5	0.118686
Methylation	cg27586797	Factor1	0.113073
Methylation	cg27586797	Factor2	-0.090654
Methylation	cg27586797	Factor3	-0.012559
Methylation	cg27586797	Factor4	-0.033792
Methylation	cg27586797	Factor5	0.005441
Methylation	cg01811882	Factor1	-0.339006
Methylation	cg01811882	Factor2	0.018524
Methylation	cg01811882	Factor3	0.014834
Methylation	cg01811882	Factor4	0.22516
Methylation	cg01811882	Factor5	0.591274
Methylation	cg09094964	Factor1	-0.186326
Methylation	cg09094964	Factor2	-0.001894
Methylation	cg09094964	Factor3	-0.015156
Methylation	cg09094964	Factor4	0.254866
Methylation	cg09094964	Factor5	0.190226
Methylation	cg07570470	Factor1	0.653696
Methylation	cg07570470	Factor2	-0.179639
Methylation	cg07570470	Factor3	0.195887
Methylation	cg07570470	Factor4	0.133814
Methylation	cg07570470	Factor5	0.005549
Methylation	cg14262681	Factor1	0.139939
Methylation	cg14262681	Factor2	0.317794
Methylation	cg14262681	Factor3	0.429165
Methylation	cg14262681	Factor4	-0.011382
Methylation	cg14262681	Factor5	0.299902
Methylation	cg09068128	Factor1	-0.327289
Methylation	cg09068128	Factor2	0.222294
Methylation	cg09068128	Factor3	0.246766
Methylation	cg09068128	Factor4	-0.073845
Methylation	cg09068128	Factor5	0.519583
Methylation	cg07813142	Factor1	0.367251
Methylation	cg07813142	Factor2	0.217628
Methylation	cg07813142	Factor3	0.514035
Methylation	cg07813142	Factor4	0.092243
Methylation	cg07813142	Factor5	-0.001079
Methylation	cg27436995	Factor1	0.320112
Methylation	cg27436995	Factor2	-0.12765
Methylation	cg27436995	Factor3	0.219353
Methylation	cg27436995	Factor4	-0.050666
Methylation	cg27436995	Factor5	0.111811
Methylation	cg17219660	Factor1	-0.657143
Methylation	cg17219660	Factor2	0.163144
Methylation	cg17219660	Factor3	0.051998
Methylation	cg17219660	Factor4	-0.101806
Methylation	cg17219660	Factor5	0.054848
Methylation	cg19486070	Factor1	0.223131
Methylation	cg19486070	Factor2	-0.138204
Methylation	cg19486070	Factor3	0.161628
Methylation	cg19486070	Factor4	0.009173
Methylation	cg19486070	Factor5	0.220303
Methylation	cg12680131	Factor1	-0.218652
Methylation	cg12680131	Factor2	-0.18156
Methylation	cg12680131	Factor3	0.098302
Methylation	cg12680131	Factor4	0.105758
Methylation	cg12680131	Factor5	0.632147
Methylation	cg19980771	Factor1	0.517653
Methylation	cg19980771	Factor2	0.107537
Methylation	cg19980771	Factor3	0.334731
Methylation	cg19980771	Factor4	0.003033
Methylation	cg19980771	Factor5	0.083146
Methylation	cg16252110	Factor1	0.142391
Methylation	cg16252110	Factor2	-0.343925
Methylation	cg16252110	Factor3	0.211802
Methylation	cg16252110	Factor4	-0.004391
Methylation	cg16252110	Factor5	0.590349
Methylation	cg14859874	Factor1	0.050913
Methylation	cg14859874	Factor2	-0.067166
Methylation	cg14859874	Factor3	0.025794
Methylation	cg14859874	Factor4	0.008567
Methylation	cg14859874	Factor5	-0.002014
Methylation	cg11863717	Factor1	0.608409
Methylation	cg11863717	Factor2	0.012827
Methylation	cg11863717	Factor3	0.287939
Methylation	cg11863717	Factor4	-0.008531
Methylation	cg11863717	Factor5	-0.001619
Methylation	cg02003183	Factor1	0.001366
Methylation	cg02003183	Factor2	0.372599
Methylation	cg02003183	Factor3	0.210479
Methylation	cg02003183	Factor4	0.445609
Methylation	cg02003183	Factor5	0.000645
Methylation	cg08901662	Factor1	0.504289
Methylation	cg08901662	Factor2	0.046756
Methylation	cg08901662	Factor3	0.503742
Methylation	cg08901662	Factor4	-0.002391
Methylation	cg08901662	Factor5	0.115048
Methylation	cg17721710	Factor1	0.576987
Methylation	cg17721710	Factor2	0.007877
Methylation	cg17721710	Factor3	0.474481
Methylation	cg17721710	Factor4	-0.031432
Methylation	cg17721710	Factor5	-0.000947
